BARMATRIX Q#,Finished
14555,Completed
14556,Completed
14557,
14558,Completed
14559,
14560,
14561,
14562,
14563,
14564,
14565,
14566,
14567,
14568,Completed
14571,
14572,
14574,Completed
14575,
14578,
14579,
14582,Completed
14584,
14585,
14586,Completed
14587,
14588,Completed
14590,Completed
14591,
14592,
14593,
14594,
14595,
14596,Completed
14599,Completed
14600,
14601,
14602,
14603,
14605,Completed
14607,
14609,Completed
14610,Completed
14615,Completed
14616,Completed
14618,
14619,Completed
14620,Completed
14621,Completed
14625,Completed
14626,Completed
14630,Completed
14631,Completed
14633,Completed
14634,Completed
14635,Completed
14636,Completed
14637,Completed
14638,Completed
14639,Completed
14640,Completed
14641,Completed
14642,Completed
14643,Completed
14644,Completed
14645,Completed
14649,Completed
14650,Completed
14652,
14654,Completed
14655,Completed
14656,Completed
14657,Completed
14659,
14660,
14661,
14662,
14663,Completed
14664,Completed
14665,Completed
14667,
14668,
14669,
14670,
14671,
14675,
14676,
14677,
14678,
14679,
14680,
14681,
14684,
14685,
14687,
14690,Completed
14691,
14692,
14693,
14694,
14695,
14696,
14697,Completed
14698,Completed
14700,
14707,
14708,
14709,
14710,
14711,Completed
14712,
14713,
14714,
14715,
14716,
14718,
14719,
14720,
14721,Completed
14723,
14724,
14725,Completed
14726,
14727,
14728,Completed
14730,Completed
14731,
14733,
14734,
14735,
14736,
14740,
14742,
14743,
14744,Completed
14745,
14748,Completed
16000,
16001,Completed
16002,
16003,
16004,
16005,
16006,
16007,
16008,
16009,
16011,
16012,
16013,
16014,
16015,
16016,
16017,
16018,
16019,
16021,
16022,
16023,
16024,
16025,
16026,
16027,
16028,
16029,
16030,
16031,
16032,
16033,
16034,
16035,
16036,
16037,
16039,
16040,
16041,
16042,
16043,
16044,
16045,
16046,
16047,
16048,
16049,
16050,
16051,
16052,
16053,
16054,
16055,
16056,
16057,
16059,
16060,
16061,
16062,
16063,
16064,
16065,
16066,
16067,
16068,
16069,
16070,
16071,
16072,
16073,
16074,
16075,
16076,
16077,
16078,
16079,
16080,
16081,
16082,
16083,
16085,
16086,
16088,
16089,
16090,
16091,
16092,
16093,
16094,
16095,
16097,
16098,
16099,
16100,
16101,
16102,
16103,
16104,
16105,
16107,
16108,
16110,
16111,
16112,
16113,
16114,
16115,
16116,
16118,
16119,
16120,
16121,
16122,
16123,
16124,
16125,
16126,
16127,Completed
16128,
16129,
16130,
16131,
16133,
16134,
16135,
16136,
16137,
16138,
16139,
16140,
16142,
16147,
16148,
16149,
16150,
16151,
16152,
16153,
16154,
16155,
16156,
16157,
16158,
16159,
16160,
16161,
16162,
16164,
16165,
16166,
16167,
16168,
16169,
16170,
16171,
16172,
16173,
16174,
16175,
16176,
16177,
16178,
16179,
16180,
16181,
16182,
16183,
16184,
16185,
16186,
16187,
16188,
16195,
16196,
16197,
16198,
16199,
16200,
16201,
16202,
16203,
16204,
16205,
16206,
16207,
16208,
17028,
17052,
17055,
17063,
17076,
17080,
17084,Completed
17097,
17104,
17127,
17149,
17151,Completed
17153,
17165,
17168,
17178,
17186,
17187,
17196,
17200,
17203,
17205,
17208,
17225,Completed
17244,
17246,
17252,
17279,
17286,
17294,
17298,
17309,
17312,
17320,
17324,
17328,
17332,
17337,
17345,
17358,
17361,
17362,
17363,
17367,
17370,
17371,
17375,
17386,
17405,
17423,
17425,
17426,
17434,
17444,
17453,
17478,
17486,
17490,
17495,
17522,
17534,
17538,
17556,
17564,
17566,
17576,
17589,
17590,
17594,
17597,
17613,
17622,
17626,
17646,
17647,
17657,
17671,
17682,
17712,
17726,
17746,
17760,
17776,
17786,
17823,
17827,
17828,
17842,
17852,
17855,
17859,Completed
17870,
17871,
17873,
17880,
17883,
17884,
17887,
17893,
17894,
17923,
17929,
17930,
17947,
17950,
17959,
17963,
17966,
17969,
17985,
17993,
18001,
18002,
18017,
18020,
18029,
18031,
18032,
18039,
18063,
18066,
18069,
18101,
18102,
18106,
18109,
18111,Completed
18120,
18123,
18125,
18132,
18147,
18156,
18163,
18171,
18174,
18217,
18228,
18239,
18273,
18279,
18296,
18300,
18308,
18317,
18323,
18329,
18335,
18342,
18352,
18355,
18356,
18357,
18363,
18365,
18376,
