source_file,cq_file,source_qid,transformed_qid,subject,outline_code,answer_key,validation_status,load_status,quarantine_reason,stem_len,has_annotation,has_components,has_intel,has_case_study,generated_db_identifier
C:\FOC\Workspace\Finished\CQ14000.md,CQ14000.md,14000,14000_bible_escape_room_trailer,CIVIL_PROCEDURE,93110300,D,PASS,draft_ready,,631,true,true,true,true,14000_bible_escape_room_trailer
C:\FOC\Workspace\Finished\CQ14001.md,CQ14001.md,14001,14001_christmas_stage_review,CIVIL_PROCEDURE,93110100,B,PASS,draft_ready,,738,true,true,true,true,14001_christmas_stage_review
C:\FOC\Workspace\Finished\CQ14007.md,CQ14007.md,14007,14007_winter_market_review,CIVIL_PROCEDURE,93110300,B,PASS,draft_ready,,766,true,true,true,true,14007_winter_market_review
C:\FOC\Workspace\Finished\CQ14014.md,CQ14014.md,14014,14014_scripture_cart_jury_poll,CIVIL_PROCEDURE,93110101,B,PASS,draft_ready,,750,true,true,true,true,14014_scripture_cart_jury_poll
C:\FOC\Workspace\Finished\CQ14062.md,CQ14062.md,14062,14062_stephens-orchard-late-changed-charge,CIVIL_PROCEDURE,91090400,C,PASS,draft_ready,,1368,true,true,true,true,14062_stephens-orchard-late-changed-charge
C:\FOC\Workspace\Finished\CQ14068.md,CQ14068.md,14068,14068_retreat_canoe,CIVIL_PROCEDURE,91090100,C,PASS,draft_ready,,1208,true,true,true,true,14068_retreat_canoe
C:\FOC\Workspace\Finished\CQ14071.md,CQ14071.md,14071,14071_threshing-sledge-patent,CIVIL_PROCEDURE,91090300,C,PASS,draft_ready,,1231,true,true,true,true,14071_threshing-sledge-patent
C:\FOC\Workspace\Finished\CQ14090.md,CQ14090.md,14090,14090_federal_military_property_duty_defense,CIVIL_PROCEDURE,96060200,C,PASS,draft_ready,,687,true,true,true,true,14090_federal_military_property_duty_defense
C:\FOC\Workspace\Finished\CQ14108.md,CQ14108.md,14108,14108_ebike_delivery_sign,CIVIL_PROCEDURE,92080201,C,PASS,draft_ready,,1458,true,true,true,true,14108_ebike_delivery_sign
C:\FOC\Workspace\Finished\CQ14132.md,CQ14132.md,14132,14132_lydia_vineyard_smj,CIVIL_PROCEDURE,92080104,B,PASS,draft_ready,,739,true,true,true,true,14132_lydia_vineyard_smj
C:\FOC\Workspace\Finished\CQ14148.md,CQ14148.md,14148,14148_vineyard-sanctions,CIVIL_PROCEDURE,95070101,A,PASS,draft_ready,,1081,true,true,true,true,14148_vineyard-sanctions
