Question ID	Model
14423	xai/grok-build-0.1
14990	openai/gpt-5.5
15050	openrouter/owl-alpha
14894	minimax/MiniMax-M3
14809	openrouter/owl-alpha
14881	minimax/MiniMax-M3
14861	openai/gpt-5.5
14980	openai/gpt-5.5
15059	xai/grok-build-0.1
14487	xai/grok-build-0.1
15074	openrouter/owl-alpha
14948	openrouter/owl-alpha
15083	openrouter/owl-alpha
14917	openai/gpt-5.5
15027	openai/gpt-5.5
14982	minimax/MiniMax-M3
15060	openai/gpt-5.5
14910	xai/grok-build-0.1
14954	openai/gpt-5.5
14956	openai/gpt-5.5
15065	openrouter/owl-alpha
14989	minimax/MiniMax-M3
14813	openrouter/owl-alpha
14985	openrouter/owl-alpha
14999	openrouter/owl-alpha
14844	openrouter/owl-alpha
14878	openai/gpt-5.5
15076	openai/gpt-5.5
14888	openai/gpt-5.5
15081	openai/gpt-5.5
14372	openrouter/owl-alpha
14963	openrouter/owl-alpha
14994	openai/gpt-5.5
14805	openai/gpt-5.5
14551	openrouter/owl-alpha
14957	minimax/MiniMax-M3
15049	openai/gpt-5.5
14448	openai/gpt-5.5
14478	openai/gpt-5.5
14483	openrouter/owl-alpha
14870	xai/grok-build-0.1
14874	openai/gpt-5.5
14440	openai/gpt-5.5
14499	openrouter/owl-alpha
14945	minimax/MiniMax-M3
14532	openai/gpt-5.5
14425	openrouter/owl-alpha
14661	minimax/MiniMax-M3
15030	minimax/MiniMax-M3
14841	openrouter/owl-alpha
14777	openrouter/owl-alpha
14949	openai/gpt-5.5
14847	openai/gpt-5.5
14759	openrouter/owl-alpha
14435	openrouter/owl-alpha
15009	openai/gpt-5.5
14946	openrouter/owl-alpha
15048	minimax/MiniMax-M3
14584	openrouter/poolside/laguna-m.1:free
14988	xai/grok-build-0.1
14883	openai/gpt-5.5
14903	openai/gpt-5.5
14855	openai/gpt-5.5
14500	openai/gpt-5.5
14383	openrouter/owl-alpha
14549	openai/gpt-5.5
14968	openrouter/owl-alpha
14996	openrouter/owl-alpha
14900	openai/gpt-5.5
14793	openrouter/owl-alpha
14808	openrouter/owl-alpha
14429	openai/gpt-5.5
14825	xai/grok-build-0.1
14842	xai/grok-build-0.1
14756	openrouter/owl-alpha
15034	openai/gpt-5.5
14925	xai/grok-build-0.1
15067	openrouter/poolside/laguna-m.1:free
14849	openrouter/owl-alpha
14872	openai/gpt-5.5
14545	xai/grok-build-0.1
14436	openrouter/poolside/laguna-m.1:free
14906	minimax/MiniMax-M3
14920	openrouter/owl-alpha
14517	openrouter/owl-alpha
15004	openai/gpt-5.5
