"fileName","flaw"
"CQ14595.md","B1 YAML failed to parse: Nested mappings are not allowed in compact mappings at line 79, column 26:"
"CQ14676_church_youth_accusation.md","missing or implausibly short stem"
"CQ14685.md","missing or implausibly short stem; missing call; missing choice A; missing choice B; missing choice C; missing choice D"
"CQ14931.md","missing residual_answer.explanation for correct choice"
"CQ15014.md","missing or implausibly short stem; missing choice A; missing choice B; missing choice C; missing choice D"
"CQ15054.md","missing residual_answer.explanation for correct choice"
"CQ15100.md","missing or implausibly short stem"
"CQ17034.md","B1 YAML failed to parse: All mapping items must start at the same column at line 111, column 1:"
"CQ17345.md","choice A: missing why_attractive (B4); choice A: missing distractor explanation (B3); choice C: missing why_attractive (B4); choice C: missing distractor explanation (B3); choice D: missing why_attractive (B4); choice D: missing distractor explanation (B3)"
"CQ17776.md","missing or implausibly short stem"
"CQ18217.md","choice A: missing why_attractive (B4); choice A: missing distractor explanation (B3); choice B: missing why_attractive (B4); choice B: missing distractor explanation (B3); choice D: missing why_attractive (B4); choice D: missing distractor explanation (B3)"
"CQ18385.md","missing or implausibly short stem"
"CQ19064.md","missing or implausibly short stem"
"CQ19099.md","missing or implausibly short stem"
"CQ19143.md","missing or implausibly short stem"
"CQ19692.md","missing or implausibly short stem; missing choice A; missing choice B; missing choice C; missing choice D"
"CQ20031.md","choice A: missing why_attractive (B4); choice A: missing distractor explanation (B3); choice B: missing why_attractive (B4); choice B: missing distractor explanation (B3); choice D: missing why_attractive (B4); choice D: missing distractor explanation (B3)"
"CQ20168.md","missing or implausibly short stem"
"CQ20575.md","missing or implausibly short stem"
"CQ21131.md","missing or implausibly short stem; missing choice A; missing choice B; missing choice C; missing choice D"
"CQ21244.md","missing or implausibly short stem; missing choice A; missing choice B; missing choice C; missing choice D"
"CQ21707.md","missing or implausibly short stem; missing choice A; missing choice B; missing choice C; missing choice D"
"CQ21770.md","missing or implausibly short stem"
"CQ22408.md","missing residual_answer.explanation for correct choice; choice B: missing why_attractive (B4); choice B: missing distractor explanation (B3); choice C: missing why_attractive (B4); choice C: missing distractor explanation (B3); choice D: missing why_attractive (B4); choice D: missing distractor explanation (B3)"
"CQ22409.md","missing or implausibly short stem; missing choice A; missing choice B; missing choice C; missing choice D"
