base,count,normalized,suggestedCode,suggestedPath,confidence,topScore,margin
"contracts_defenses_questions_batch_001_D_statute_of_frauds_core","20","contracts defenses D statute of frauds core","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","21","6"
"contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc","20","contracts defenses D statute of frauds ucc","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","21","6"
"contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants","20","contracts defenses D statute of frauds hard variants","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","21","6"
"contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review","20","contracts defenses D statute of frauds mixed review","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","21","6"
"contracts_defenses_questions_batch_006_F_mistake_lack_mutual_assent","20","contracts defenses F mistake lack mutual assent","54030600","Defenses to Formation or Enforcement > Mistake / Lack of Mutual Assent","high","26","8"
"contracts_remedies_questions_batch_001_node_a1_expectation_damages","10","contracts remedies expectation damages","51060101","Remedies > Damages > Expectation damages","high","33","14"
"contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services","18","contracts remedies expectation damages construction services","51060101","Remedies > Damages > Expectation damages","high","33","14"
"contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty","18","contracts remedies expectation damages lost profits certainty","51060101","Remedies > Damages > Expectation damages","high","33","14"
"contracts_remedies_questions_batch_004_node_a7_duty_to_mitigate","10","contracts remedies duty to mitigate","51060107","Remedies > Damages > Duty to mitigate","high","22","6"
"contracts_remedies_questions_batch_005_node_a5_liquidated_damages","10","contracts remedies liquidated damages","51060105","Remedies > Damages > Liquidated damages","high","33","14"
"presentation_questions_batch_001_A1_roles_judge_jury","20","presentation A1 roles judge jury","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","19","5"
"presentation_questions_batch_003_A3_presumptions_inferences","18","presentation A3 presumptions inferences","31010103","Presentation of Evidence > General Provisions > Presumptions and inferences","high","22","8"
"presentation_questions_batch_004_A4_materiality_probative_value","15","presentation A4 materiality probative value","31010104","Presentation of Evidence > General Provisions > Materiality and probative value","high","25","11"
"presentation_questions_batch_005_A5_offers_of_proof","14","presentation A5 offers of proof","31010105","Presentation of Evidence > General Provisions > Offers of proof","high","20","6"
"presentation_questions_batch_006_A6_judicial_notice","18","presentation A6 judicial notice","31010106","Presentation of Evidence > General Provisions > Judicial notice","high","31","17"
"presentation_questions_batch_007_A7_preliminary_questions","18","presentation A7 preliminary questions","31010107","Presentation of Evidence > General Provisions > Preliminary questions","high","28","14"
"presentation_questions_batch_008_A8_rule_of_completeness","10","presentation A8 rule of completeness","31010108","Presentation of Evidence > General Provisions > Rule of completeness","high","20","6"
"presentation_questions_batch_011_B3_nonresponsive_answers","18","presentation B3 nonresponsive answers","31010203","Presentation of Evidence > Objections and Motions to Strike > Nonresponsive answers","high","21","7"
"presentation_questions_batch_013_D1_mode_order_witnesses","14","presentation D1 mode order witnesses","31010401","Presentation of Evidence > Witnesses > Mode and order of witnesses","high","23","5"
"presentation_questions_batch_014_D2_form_scope_examination","18","presentation D2 form scope examination","31010402","Presentation of Evidence > Witnesses > Form and scope of examination","high","23","9"
"presentation_questions_batch_017_D5_personal_knowledge","12","presentation D5 personal knowledge","31010405","Presentation of Evidence > Witnesses > Personal knowledge","high","22","8"
"presentation_questions_batch_019_D7_refreshing_recollection_CORRECTED","12","presentation D7 refreshing recollection CORRECTED","31010407","Presentation of Evidence > Witnesses > Refreshing recollection","high","22","8"
"presentation_questions_batch_020_E1_use_of_impeachment_material","16","presentation E1 use of impeachment material","31010501","Presentation of Evidence > Impeachment > Use of impeachment material","high","24","6"
"presentation_questions_batch_021_E2_prior_inconsistent_statement","18","presentation E2 prior inconsistent statement","31010502","Presentation of Evidence > Impeachment > Prior inconsistent statement","high","35","21"
"presentation_questions_batch_023_E4_conviction_of_crime","14","presentation E4 conviction of crime","31010504","Presentation of Evidence > Impeachment > Conviction of crime","high","21","7"
"presentation_questions_batch_025_E4_conviction_of_crime","14","presentation E4 conviction of crime","31010504","Presentation of Evidence > Impeachment > Conviction of crime","high","21","7"
"real_property_titles_questions_batch_001_B1_valid_deed_requirements","20","real property titles B1 valid deed requirements","84040201","Titles, Deeds, and Conveyancing > Conveyance by Deed > Requirements for valid deed","high","26","5"
"CL-126","1","CL-126","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-127","1","CL-127","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-128","1","CL-128","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-129","1","CL-129","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
