"LocalAddress","LocalPort","OwningProcess"
"192.168.1.235","137","4"
"192.168.1.235","138","4"
"::","500","3532"
"0.0.0.0","500","3532"
"::1","1900","5764"
"127.0.0.1","1900","5764"
"192.168.1.235","1900","5764"
"fe80::612:b598:32b:cc16%4","1900","5764"
"::","3702","6260"
"0.0.0.0","3702","6260"
"::","4500","3532"
"0.0.0.0","4500","3532"
"::","5353","2040"
"0.0.0.0","5353","2040"
"::","5355","2040"
"0.0.0.0","5355","2040"
"fe80::612:b598:32b:cc16%4","49379","5764"
"::1","49380","5764"
"192.168.1.235","49381","5764"
"127.0.0.1","49382","5764"
"127.0.0.1","49664","3540"
"::","61868","7100"
"0.0.0.0","62203","6260"
"::","62204","6260"
