"Id","ProcessName","WorkingSetMB","PrivateMB","CPU","Handles","StartTime"
"12164","codex","91.9","108.7","70.046875","743","6/17/2026 3:15:35 PM"
"10584","node","214.6","392.9","53.5625","275","6/17/2026 3:15:17 PM"
"10188","Codex","169.3","186","46.546875","326","6/17/2026 3:15:43 PM"
"6132","Codex","118","178.1","43.6875","1462","6/17/2026 3:15:20 PM"
"7092","Codex","79.1","135.5","16.578125","996","6/17/2026 3:15:21 PM"
"7744","WindowsTerminal","123.4","69.2","6.65625","625","6/17/2026 3:15:12 PM"
"3100","explorer","230.9","119.9","6.40625","2823","6/17/2026 3:15:11 PM"
"11820","pwsh","36.6","37.2","5.515625","643","6/17/2026 3:32:45 PM"
"12560","pwsh","165.8","90.3","3.5625","788","6/17/2026 3:46:13 PM"
"2536","svchost","39.3","7.9","3.328125","437","6/17/2026 3:15:11 PM"
"3020","StartMenuExperienceHost","161.5","83.3","3.1875","1015","6/17/2026 3:15:12 PM"
"13284","pwsh","107.9","30.3","3.046875","869","6/17/2026 3:31:25 PM"
"8032","SearchHost","144.9","64.7","2.84375","998","6/17/2026 3:15:12 PM"
"11208","TextInputHost","188.2","96.4","2.015625","1347","6/17/2026 3:15:22 PM"
"9848","msedgewebview2","110.1","61.6","1.890625","320","6/17/2026 3:15:14 PM"
"3840","MessagingPlugin","51.1","56.8","1.625","589","6/17/2026 3:15:11 PM"
"5092","svchost","22","5.1","1.609375","372","6/17/2026 3:15:11 PM"
"10212","pwsh","14.1","26.7","1.578125","641","6/17/2026 3:15:14 PM"
"8712","msedgewebview2","119.5","40.3","1.328125","1199","6/17/2026 3:15:13 PM"
"7100","Codex","18.2","15.1","1.1875","384","6/17/2026 3:15:21 PM"
"8372","RuntimeBroker","57.8","12.9","1.125","705","6/17/2026 3:15:13 PM"
"12160","powershell","164.8","135.9","1.015625","697","6/17/2026 3:46:16 PM"
"5144","sihost","46.1","7.3","0.953125","771","6/17/2026 3:15:11 PM"
"9704","msedgewebview2","96.9","80.5","0.71875","682","6/17/2026 3:15:14 PM"
"10692","ctfmon","34.3","6.9","0.625","563","6/17/2026 3:15:17 PM"
"6048","taskhostw","15.9","4.2","0.609375","250","6/17/2026 3:15:11 PM"
"11392","conhost","21.3","2.8","0.515625","248","6/17/2026 3:31:25 PM"
"10704","TabTip","78","35.6","0.515625","625","6/17/2026 3:15:17 PM"
"13468","ShellExperienceHost","92.8","40.7","0.46875","709","6/17/2026 3:16:14 PM"
"4852","FnHotkeyUtility","57","42.2","0.421875","365","6/17/2026 3:15:11 PM"
"768","igfxEMN","18","3.8","0.296875","320","6/17/2026 3:15:11 PM"
"1384","CrossDeviceResume","70.6","34","0.28125","478","6/17/2026 3:15:11 PM"
"9696","msedgewebview2","35","12.8","0.25","336","6/17/2026 3:15:14 PM"
"2984","ShellHost","65.7","32.9","0.234375","447","6/17/2026 3:15:11 PM"
"6652","git","14.3","43.2","0.21875","105","6/17/2026 3:46:18 PM"
"11700","Codex","10.8","19.4","0.1875","236","6/17/2026 3:15:43 PM"
"5688","Codex","7.7","14.1","0.171875","179","6/17/2026 3:15:21 PM"
"6284","FnHotkeyCapsLKNumLK","31.8","18.6","0.171875","195","6/17/2026 3:15:11 PM"
"8448","svchost","22.9","3.7","0.140625","271","6/17/2026 3:15:13 PM"
"9892","RuntimeBroker","23.3","4.7","0.109375","285","6/17/2026 3:31:13 PM"
"6640","svchost","21.1","3.3","0.09375","234","6/17/2026 3:15:12 PM"
"12176","RtkAudUService64","16.9","3.6","0.09375","399","6/17/2026 3:16:14 PM"
"12172","conhost","5.3","1.2","0.09375","115","6/17/2026 3:15:35 PM"
"6872","AutoModeDetect","13.4","2.5","0.078125","187","6/17/2026 3:15:11 PM"
"4136","conhost","1.9","1.4","0.0625","141","6/17/2026 3:15:11 PM"
"9752","msedgewebview2","18.9","9.3","0.0625","179","6/17/2026 3:15:14 PM"
"7864","msedgewebview2","10.7","2.5","0.0625","176","6/17/2026 3:15:13 PM"
"9108","unsecapp","9.4","1.6","0.046875","130","6/17/2026 3:15:13 PM"
"7840","conhost","9","1.6","0.046875","119","6/17/2026 3:15:11 PM"
"4780","OpenConsole","13.9","2.6","0.046875","210","6/17/2026 3:15:12 PM"
"6056","Codex","2.2","2.5","0.046875","197","6/17/2026 3:15:20 PM"
"7160","svchost","10.1","2","0.046875","138","6/17/2026 3:15:11 PM"
"6248","conhost","7.2","1.2","0.03125","100","6/17/2026 3:46:18 PM"
"12760","node_repl","15.1","1.9","0.03125","100","6/17/2026 3:31:24 PM"
"4976","node_repl","8","2.1","0.03125","102","6/17/2026 3:40:51 PM"
"4440","git","6.3","33.6","0.03125","96","6/17/2026 3:41:51 PM"
"10936","dllhost","11.4","2.2","0.03125","179","6/17/2026 3:31:25 PM"
"7328","dllhost","15.7","1.9","0.03125","169","6/17/2026 3:31:25 PM"
"4488","unsecapp","9.2","1.5","0.03125","125","6/17/2026 3:15:11 PM"
"10268","Codex","1.5","2.1","0.015625","106","6/17/2026 3:15:21 PM"
"9224","git","6.3","33.6","0.015625","95","6/17/2026 3:41:51 PM"
"5108","SecurityHealthSystray","12.6","1.9","0.015625","177","6/17/2026 3:15:44 PM"
"8020","git","6.3","33.7","0.015625","96","6/17/2026 3:41:56 PM"
"6992","git","6.3","1.6","0.015625","100","6/17/2026 3:46:18 PM"
"4680","git","6.3","33.7","0.015625","95","6/17/2026 3:41:15 PM"
"12396","git","6.3","33.6","0.015625","96","6/17/2026 3:41:56 PM"
"3508","conhost","7.3","1.2","0","96","6/17/2026 3:46:16 PM"
"6052","node_repl","6.2","1.8","0","100","6/17/2026 3:31:29 PM"
"10420","node_repl","8","2.2","0","103","6/17/2026 3:41:10 PM"
"8900","node_repl","8.1","1.9","0","104","6/17/2026 3:41:12 PM"
"6468","conhost","6.5","1.1","0","96","6/17/2026 3:15:11 PM"
"8672","msedgewebview2","8.7","2.2","0","109","6/17/2026 3:15:13 PM"
"5904","git","6.3","33.7","0","96","6/17/2026 3:41:51 PM"
"8060","git","6.3","33.6","0","96","6/17/2026 3:41:51 PM"
"8224","git","6.3","33.6","0","95","6/17/2026 3:41:51 PM"
