"Id","ProcessName","WorkingSetMB","PrivateMB","CPU","Handles","StartTime"
"3912","MsMpEng","305.7","347.7",,"1167",
"3100","explorer","230.9","119.9","6.40625","2823","6/17/2026 3:15:11 PM"
"10584","node","214.6","392.9","53.5625","275","6/17/2026 3:15:17 PM"
"11208","TextInputHost","188.2","96.4","2.015625","1347","6/17/2026 3:15:22 PM"
"10188","Codex","169.3","186","46.546875","326","6/17/2026 3:15:43 PM"
"12560","pwsh","165.8","90.3","3.5625","788","6/17/2026 3:46:13 PM"
"12160","powershell","164.8","135.9","1.015625","697","6/17/2026 3:46:16 PM"
"3020","StartMenuExperienceHost","161.5","83.3","3.1875","1015","6/17/2026 3:15:12 PM"
"8032","SearchHost","144.9","64.7","2.84375","998","6/17/2026 3:15:12 PM"
"1724","dwm","143.3","107.5",,"1392",
"7744","WindowsTerminal","123.4","69.2","6.65625","625","6/17/2026 3:15:12 PM"
"8712","msedgewebview2","119.5","40.3","1.328125","1199","6/17/2026 3:15:13 PM"
"6132","Codex","118","178.1","43.6875","1462","6/17/2026 3:15:20 PM"
"9848","msedgewebview2","110.1","61.6","1.890625","320","6/17/2026 3:15:14 PM"
"13284","pwsh","107.9","30.3","3.046875","869","6/17/2026 3:31:25 PM"
"9704","msedgewebview2","96.9","80.5","0.71875","682","6/17/2026 3:15:14 PM"
"13468","ShellExperienceHost","92.8","40.7","0.46875","709","6/17/2026 3:16:14 PM"
"12164","codex","91.9","108.7","70.046875","743","6/17/2026 3:15:35 PM"
"7092","Codex","79.1","135.5","16.578125","996","6/17/2026 3:15:21 PM"
"10704","TabTip","78","35.6","0.515625","625","6/17/2026 3:15:17 PM"
"1384","CrossDeviceResume","70.6","34","0.28125","478","6/17/2026 3:15:11 PM"
"2984","ShellHost","65.7","32.9","0.234375","447","6/17/2026 3:15:11 PM"
"4032","SearchIndexer","58.8","37.8",,"975",
"8372","RuntimeBroker","57.8","12.9","1.125","705","6/17/2026 3:15:13 PM"
"4852","FnHotkeyUtility","57","42.2","0.421875","365","6/17/2026 3:15:11 PM"
"3752","UDClientService","55.1","106.6",,"1180",
"184","Registry","54.9","5",,"0",
"3584","IntelAudioService","51.3","41.6",,"418",
"3840","MessagingPlugin","51.1","56.8","1.625","589","6/17/2026 3:15:11 PM"
"5144","sihost","46.1","7.3","0.953125","771","6/17/2026 3:15:11 PM"
"5208","WmiPrvSE","45.1","32.9",,"320",
"2536","svchost","39.3","7.9","3.328125","437","6/17/2026 3:15:11 PM"
"1316","svchost","38.6","10.3",,"1232",
"3796","svchost","38","24.3",,"798",
"7800","AppProvisioningPlugin","37.3","48.9",,"468",
"6220","WmiPrvSE","36.7","26",,"289",
"11820","pwsh","36.6","37.2","5.515625","643","6/17/2026 3:32:45 PM"
"9696","msedgewebview2","35","12.8","0.25","336","6/17/2026 3:15:14 PM"
"10692","ctfmon","34.3","6.9","0.625","563","6/17/2026 3:15:17 PM"
"3572","LenovoUtilityService","33.1","21",,"308",
"6284","FnHotkeyCapsLKNumLK","31.8","18.6","0.171875","195","6/17/2026 3:15:11 PM"
"140","Secure System","31.5","0.2",,"0",
"8436","WmiPrvSE","30.5","14.6",,"319",
"1164","lsass","30.4","10",,"1480",
"6700","svchost","28.7","8.3",,"473",
"6764","svchost","28.4","10.4",,"512",
"11980","SecurityHealthService","27.9","8.1",,"583",
"3808","MpDefenderCoreService","27","10.8",,"485",
"3320","svchost","26.9","12.7",,"477",
"6908","cowork-svc","26.7","24.5",,"289",
"11788","svchost","26","5.6",,"354",
"3556","svchost","25.8","15.4",,"382",
"2684","svchost","24.7","3.7",,"276",
"9320","MoUsoCoreWorker","24.6","5.6",,"260",
"1364","WUDFHost","24.3","7.8",,"395",
"3116","svchost","23.9","6.4",,"552",
"2548","svchost","23.9","20.2",,"521",
"9892","RuntimeBroker","23.3","4.7","0.109375","285","6/17/2026 3:31:13 PM"
"8448","svchost","22.9","3.7","0.140625","271","6/17/2026 3:15:13 PM"
"11504","svchost","22.6","3.5",,"304",
"5092","svchost","22","5.1","1.609375","372","6/17/2026 3:15:11 PM"
"3564","LNBITSSvc","21.9","9.3",,"237",
"3128","svchost","21.8","11",,"328",
"2372","svchost","21.8","4.6",,"265",
"11392","conhost","21.3","2.8","0.515625","248","6/17/2026 3:31:25 PM"
"6640","svchost","21.1","3.3","0.09375","234","6/17/2026 3:15:12 PM"
"6824","svchost","20.9","4.6",,"412",
"4336","svchost","20.3","5.6",,"875",
"3640","svchost","20","4.6",,"397",
"1488","svchost","19.9","9.9",,"1213",
"3068","svchost","19.6","3.6",,"381",
"1136","services","19.5","6.4",,"846",
"9752","msedgewebview2","18.9","9.3","0.0625","179","6/17/2026 3:15:14 PM"
"3252","svchost","18.7","3",,"240",
"8016","SearchProtocolHost","18.7","10",,"426",
