"TaskPath","TaskName","State","LastRunTime","LastTaskResult","NextRunTime","Triggers","Actions"
"\","Codex Elevated","Ready","6/17/2026 3:15:11 PM","0",,"MSFT_TaskLogonTrigger","PowerShell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\PraiseKingJesus\Start-Codex-Elevated.ps1"""
"\","OpenClaw Gateway","Ready","6/17/2026 3:15:11 PM","267014",,"MSFT_TaskLogonTrigger","C:\FOC\.openclaw\gateway.cmd"
"\","OpenClaw Gateway Blessed","Ready","6/17/2026 3:15:11 PM","1",,"MSFT_TaskLogonTrigger","C:\Users\Blessed\.openclaw\gateway.cmd"
"\","OpenClaw Gateway FOC","Ready","6/17/2026 3:15:11 PM","0",,"MSFT_TaskLogonTrigger","C:\FOC\.openclaw\gateway.cmd"
"\","ZoomUpdateTaskUser-S-1-5-21-2369937846-1027655405-735039739-1001","Ready","6/17/2026 3:40:30 PM","0","6/17/2026 4:40:29 PM","MSFT_TaskDailyTrigger","""C:\Users\Blessed\AppData\Roaming\Zoom\bin\Zoom.exe"" --action=UpdateSchedule"
"\GoogleUserPEH\","RunPlatformExperienceHelperOnUnlock","Ready","11/30/1999 12:00:00 AM","267011",,"MSFT_TaskSessionStateChangeTrigger","""C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe"""
"\GoogleUserPEH\","RunPlatformExperienceHelper_Daily","Ready","6/17/2026 8:35:01 AM","0","6/18/2026 8:35:31 AM","MSFT_TaskDailyTrigger","""C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe"""
"\GoogleUserPEH\","RunPlatformExperienceHelper_Metrics","Ready","11/30/1999 12:00:00 AM","267011","6/19/2026 8:35:03 AM","MSFT_TaskTimeTrigger","""C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe"" --chrome-upload-metrics"
"\SoftLanding\S-1-5-21-2369937846-1027655405-735039739-1001\","SoftLandingCreativeManagementTask","Ready","6/16/2026 8:18:35 PM","0","6/17/2026 8:18:34 PM","MSFT_TaskTrigger,MSFT_TaskTimeTrigger,MSFT_TaskTimeTrigger",""
"\SoftLanding\S-1-5-21-2369937846-1027655405-735039739-1005\","SoftLandingCreativeManagementTask","Ready","5/17/2026 2:01:00 PM","0","6/18/2026 2:50:33 PM","MSFT_TaskTrigger,MSFT_TaskTimeTrigger,MSFT_TaskTimeTrigger",""
"\SoftLanding\S-1-5-21-2369937846-1027655405-735039739-1005\","SoftLandingDeferralTask-{5831f9e0-1b78-45b4-8e06-d8cf59feb248}","Ready","5/17/2026 2:16:01 PM","0","6/17/2026 4:01:00 PM","MSFT_TaskTimeTrigger",""
