"Name","DisplayName","State","StartMode","StartName","ProcessId","PathName"
"AarSvc_46f125","Agent Activation Runtime_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k AarSvcGroup -p"
"ADPSvc","Aggregated Data Platform Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"ALG","Application Layer Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\System32\alg.exe"
"AppIDSvc","Application Identity","Stopped","Manual","NT Authority\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Appinfo","Application Information","Running","Manual","LocalSystem","2336","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"AppReadiness","App Readiness","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k AppReadiness -p"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Auto","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k wsappx -p"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Auto","LocalSystem","2948","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","Windows Audio","Running","Auto","NT AUTHORITY\LocalService","3068","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"autotimesvc","Cellular Time","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k autoTimeSvc"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k AxInstSVGroup"
"BcastDVRUserService_46f125","GameDVR and Broadcast User Service_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k BcastDVRUserService"
"BDESVC","BitLocker Drive Encryption Service","Running","Manual","localSystem","1848","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"BFE","Base Filtering Engine","Running","Auto","NT AUTHORITY\LocalService","3320","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"BITS","Background Intelligent Transfer Service","Running","Auto","LocalSystem","6764","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"BluetoothUserService_46f125","Bluetooth User Support Service_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k BthAppGroup -p"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","LocalSystem","1316","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted"
"BthAvctpSvc","AVCTP service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p"
"bthserv","Bluetooth Support Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"camsvc","Capability Access Manager Service","Running","Auto","LocalSystem","6824","C:\WINDOWS\system32\svchost.exe -k osprivacy -p"
"CaptureService_46f125","CaptureService_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"cbdhsvc_46f125","Clipboard User Service_46f125","Running","Auto",,"6640","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p"
"CDPSvc","Connected Devices Platform Service","Stopped","Disabled","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"CDPUserSvc_46f125","Connected Devices Platform User Service_46f125","Running","Auto",,"5092","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"CertPropSvc","Certificate Propagation","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k wsappx -p"
"CloudBackupRestoreSvc_46f125","Cloud Backup and Restore Service_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"COMSysApp","COM+ System Application","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"ConsentUxUserSvc_46f125","ConsentUX User Service_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k DevicesFlow"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","NT AUTHORITY\LocalService","1908","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p"
"CoworkVMService","Claude","Running","Auto","LocalSystem","6908","""C:\Program Files\WindowsApps\Claude_1.12603.1.0_x64__pzs8sxrjxfjjc\app\resources\cowork-svc.exe"""
"cplspcon","Intel(R) Content Protection HDCP Service","Stopped","Disabled","LocalSystem","0","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_03e2a5c7c3b3fa7c\IntelCpHDCPSvc.exe"
"CredentialEnrollmentManagerUserSvc_46f125","CredentialEnrollmentManagerUserSvc_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\CredentialEnrollmentManager.exe"
"CryptSvc","Cryptographic Services","Running","Auto","NT Authority\NetworkService","3640","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto","LocalSystem","1316","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"debugregsvc","debugregsvc","Stopped","Auto","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k DevToolsGroup"
"defragsvc","Optimize drives","Stopped","Manual","localSystem","0","C:\WINDOWS\system32\svchost.exe -k defragsvc"
"DeveloperToolsService","Developer Tools Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\DeveloperToolsSvc.exe"
"DeviceAssociationBrokerSvc_46f125","DeviceAssociationBroker_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k DevicesFlow -p"
"DeviceAssociationService","Device Association Service","Running","Auto","LocalSystem","3520","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DeviceInstall","Device Install Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"DevicePickerUserSvc_46f125","DevicePicker_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k DevicesFlow"
"DevicesFlowUserSvc_46f125","DevicesFlow_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k DevicesFlow"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dhcp","DHCP Client","Running","Auto","NT Authority\LocalService","2008","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"diagsvc","Diagnostic Execution Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k diagnostics"
"DiagTrack","Connected User Experiences and Telemetry","Stopped","Disabled","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k utcsvc -p"
"DispBrokerDesktopSvc","Display Policy Service","Running","Auto","NT AUTHORITY\LocalService","3140","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual","LocalSystem","752","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Disabled","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Dnscache","DNS Client","Running","Auto","NT AUTHORITY\NetworkService","2040","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DolbyDAXAPI","Dolby DAX API Service","Stopped","Disabled","LocalSystem","0","C:\WINDOWS\System32\DriverStore\FileRepository\dax3_swc_aposvc.inf_amd64_e9709186d216ac57\DAX3API.exe"
"DoSvc","Delivery Optimization","Running","Auto","NT Authority\NetworkService","6700","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"dot3svc","Wired AutoConfig","Stopped","Manual","localSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DPS","Diagnostic Policy Service","Running","Auto","NT AUTHORITY\LocalService","3556","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
"DsmSvc","Device Setup Manager","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"DsSvc","Data Sharing Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DusmSvc","Data Usage","Stopped","Disabled","NT Authority\LocalService","0","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc"
"EapHost","Extensible Authentication Protocol","Stopped","Manual","localSystem","0","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"EFS","Encrypting File System (EFS)","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\lsass.exe"
"ElevocService","Elevoc Control Service","Stopped","Disabled","LocalSystem","0","C:\WINDOWS\system32\ElevocInstallDriver\ElevocControlService.exe"
"embeddedmode","Embedded Mode","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k appmodelRedirectionGuard -p"
"esifsvc","Intel(R) Dynamic Tuning service","Running","Auto","LocalSystem","3888","""C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_897ea327b3fe52f7\esif_uf.exe"""
"EventLog","Windows Event Log","Running","Auto","NT AUTHORITY\LocalService","2548","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventSystem","COM+ Event System","Running","Auto","NT AUTHORITY\LocalService","2640","C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p"
"fdPHost","Function Discovery Provider Host","Running","Manual","NT AUTHORITY\LocalService","2340","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"FDResPub","Function Discovery Resource Publication","Running","Manual","NT AUTHORITY\LocalService","6260","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"fhsvc","File History Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"FontCache","Windows Font Cache Service","Running","Auto","NT AUTHORITY\LocalService","2956","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\System32\svchost.exe -k Camera"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k CameraMonitor"
"GameInputSvc","GameInput Service","Stopped","Disabled","LocalSystem","0","C:\WINDOWS\System32\GameInputSvc.exe"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual","LocalSystem","0","""C:\Program Files\Google\Chrome\Application\149.0.7827.115\elevation_service.exe"""
