"Name","DisplayName","State","StartName","ProcessId","PathName"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k wsappx -p"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","LocalSystem","2948","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","Windows Audio","Running","NT AUTHORITY\LocalService","3068","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"BFE","Base Filtering Engine","Running","NT AUTHORITY\LocalService","3320","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"BITS","Background Intelligent Transfer Service","Running","LocalSystem","6764","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","LocalSystem","1316","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"camsvc","Capability Access Manager Service","Running","LocalSystem","6824","C:\WINDOWS\system32\svchost.exe -k osprivacy -p"
"cbdhsvc_46f125","Clipboard User Service_46f125","Running",,"6640","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p"
"CDPUserSvc_46f125","Connected Devices Platform User Service_46f125","Running",,"5092","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"CoreMessagingRegistrar","CoreMessaging","Running","NT AUTHORITY\LocalService","1908","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p"
"CoworkVMService","Claude","Running","LocalSystem","6908","""C:\Program Files\WindowsApps\Claude_1.12603.1.0_x64__pzs8sxrjxfjjc\app\resources\cowork-svc.exe"""
"CryptSvc","Cryptographic Services","Running","NT Authority\NetworkService","3640","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DcomLaunch","DCOM Server Process Launcher","Running","LocalSystem","1316","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"debugregsvc","debugregsvc","Stopped","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k DevToolsGroup"
"DeviceAssociationService","Device Association Service","Running","LocalSystem","3520","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dhcp","DHCP Client","Running","NT Authority\LocalService","2008","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DispBrokerDesktopSvc","Display Policy Service","Running","NT AUTHORITY\LocalService","3140","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Dnscache","DNS Client","Running","NT AUTHORITY\NetworkService","2040","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DoSvc","Delivery Optimization","Running","NT Authority\NetworkService","6700","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"DPS","Diagnostic Policy Service","Running","NT AUTHORITY\LocalService","3556","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
"esifsvc","Intel(R) Dynamic Tuning service","Running","LocalSystem","3888","""C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_897ea327b3fe52f7\esif_uf.exe"""
"EventLog","Windows Event Log","Running","NT AUTHORITY\LocalService","2548","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventSystem","COM+ Event System","Running","NT AUTHORITY\LocalService","2640","C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p"
"FontCache","Windows Font Cache Service","Running","NT AUTHORITY\LocalService","2956","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"GoogleUpdaterInternalService150.0.7863.0","Google Updater Internal Service (GoogleUpdaterInternalService150.0.7863.0)","Stopped","LocalSystem","0","""C:\Program Files (x86)\Google\GoogleUpdater\150.0.7863.0\updater.exe"" --system --windows-service --service=update-internal"
"GoogleUpdaterService150.0.7863.0","Google Updater Service (GoogleUpdaterService150.0.7863.0)","Stopped","LocalSystem","0","""C:\Program Files (x86)\Google\GoogleUpdater\150.0.7863.0\updater.exe"" --system --windows-service --service=update"
"gpsvc","Group Policy Client","Running","LocalSystem","13084","C:\WINDOWS\system32\svchost.exe -k GPSvcGroup"
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","Running","LocalSystem","2876","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_05a153f767b80b04\igfxCUIServiceN.exe"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","LocalSystem","3532","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
