"Name","DisplayName","StartMode","StartName","ProcessId","PathName"
"Appinfo","Application Information","Manual","LocalSystem","2336","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Auto","LocalSystem","2948","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","Windows Audio","Auto","NT AUTHORITY\LocalService","3068","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"BDESVC","BitLocker Drive Encryption Service","Manual","localSystem","1848","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"BFE","Base Filtering Engine","Auto","NT AUTHORITY\LocalService","3320","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"BITS","Background Intelligent Transfer Service","Auto","LocalSystem","6764","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Auto","LocalSystem","1316","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"camsvc","Capability Access Manager Service","Auto","LocalSystem","6824","C:\WINDOWS\system32\svchost.exe -k osprivacy -p"
"cbdhsvc_46f125","Clipboard User Service_46f125","Auto",,"6640","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p"
"CDPUserSvc_46f125","Connected Devices Platform User Service_46f125","Auto",,"5092","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"CoreMessagingRegistrar","CoreMessaging","Auto","NT AUTHORITY\LocalService","1908","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p"
"CoworkVMService","Claude","Auto","LocalSystem","6908","""C:\Program Files\WindowsApps\Claude_1.12603.1.0_x64__pzs8sxrjxfjjc\app\resources\cowork-svc.exe"""
"CryptSvc","Cryptographic Services","Auto","NT Authority\NetworkService","3640","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DcomLaunch","DCOM Server Process Launcher","Auto","LocalSystem","1316","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"DeviceAssociationService","Device Association Service","Auto","LocalSystem","3520","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dhcp","DHCP Client","Auto","NT Authority\LocalService","2008","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DispBrokerDesktopSvc","Display Policy Service","Auto","NT AUTHORITY\LocalService","3140","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"DisplayEnhancementService","Display Enhancement Service","Manual","LocalSystem","752","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dnscache","DNS Client","Auto","NT AUTHORITY\NetworkService","2040","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DoSvc","Delivery Optimization","Auto","NT Authority\NetworkService","6700","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"DPS","Diagnostic Policy Service","Auto","NT AUTHORITY\LocalService","3556","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
"esifsvc","Intel(R) Dynamic Tuning service","Auto","LocalSystem","3888","""C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_897ea327b3fe52f7\esif_uf.exe"""
"EventLog","Windows Event Log","Auto","NT AUTHORITY\LocalService","2548","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventSystem","COM+ Event System","Auto","NT AUTHORITY\LocalService","2640","C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p"
"fdPHost","Function Discovery Provider Host","Manual","NT AUTHORITY\LocalService","2340","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"FDResPub","Function Discovery Resource Publication","Manual","NT AUTHORITY\LocalService","6260","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"FontCache","Windows Font Cache Service","Auto","NT AUTHORITY\LocalService","2956","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"gpsvc","Group Policy Client","Auto","LocalSystem","13084","C:\WINDOWS\system32\svchost.exe -k GPSvcGroup"
"hidserv","Human Interface Device Service","Manual","LocalSystem","1220","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"hns","hns","Manual","LocalSystem","5060","C:\WINDOWS\system32\svchost.exe -k NetSvcs -p"
"HvHost","HV Host Service","Manual","LocalSystem","1844","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","Auto","LocalSystem","2876","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_05a153f767b80b04\igfxCUIServiceN.exe"
