"Share","Path","Account","AccessControlType","AccessRight"
"Adam","C:\Adam","BUILTIN\Administrators","Allow","Full"
"Adam","C:\Adam","Everyone","Allow","Full"
"ADS","C:\ADS","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"ADS","C:\ADS","Everyone","Allow","Read"
"agency-agents","C:\agency-agents","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"agency-agents","C:\agency-agents","Everyone","Allow","Read"
"Agent-templates","C:\Agent-templates","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"Agent-templates","C:\Agent-templates","Everyone","Allow","Read"
"Aly","C:\Aly","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"Aly","C:\Aly","Everyone","Allow","Read"
"ALY_incoming","C:\ALY_incoming","BUILTIN\Administrators","Allow","Full"
"ALY_incoming","C:\ALY_incoming","Everyone","Allow","Full"
"AM","C:\AM","BUILTIN\Administrators","Allow","Full"
"AM","C:\AM","Everyone","Allow","Full"
"AM","C:\AM","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"AO","C:\AO","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"AO","C:\AO","Everyone","Allow","Read"
"apis","C:\apis","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"apis","C:\apis","Everyone","Allow","Read"
"Artifacts","C:\OCBO\Artifacts","HAILKINGJESUS\josh","Allow","Full"
"ASI-Evolve","C:\ASI-Evolve","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"ASI-Evolve","C:\ASI-Evolve","Everyone","Allow","Read"
"autoresearch","C:\autoresearch","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"autoresearch","C:\autoresearch","Everyone","Allow","Read"
"BGT","C:\BGT","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"BGT","C:\BGT","Everyone","Allow","Read"
"BH","C:\BH","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"BH","C:\BH","Everyone","Allow","Read"
"browser-use","C:\browser-use","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"browser-use","C:\browser-use","Everyone","Allow","Read"
"C","C:\","Everyone","Allow","Read"
