"Time","Path","CookedValue"
"2026-06-17T15:45:46.9890000-07:00","\\praisejesus\processor(_total)\% processor time","16.51"
"2026-06-17T15:45:46.9890000-07:00","\\praisejesus\memory\available mbytes","8314"
"2026-06-17T15:45:46.9890000-07:00","\\praisejesus\memory\committed bytes","32991559680"
"2026-06-17T15:45:46.9890000-07:00","\\praisejesus\memory\commit limit","58822393856"
"2026-06-17T15:45:48.0030000-07:00","\\praisejesus\processor(_total)\% processor time","14.29"
"2026-06-17T15:45:48.0030000-07:00","\\praisejesus\memory\available mbytes","8274"
"2026-06-17T15:45:48.0030000-07:00","\\praisejesus\memory\committed bytes","33065230336"
"2026-06-17T15:45:48.0030000-07:00","\\praisejesus\memory\commit limit","58822393856"
"2026-06-17T15:45:49.0180000-07:00","\\praisejesus\processor(_total)\% processor time","3.83"
"2026-06-17T15:45:49.0180000-07:00","\\praisejesus\memory\available mbytes","8255"
"2026-06-17T15:45:49.0180000-07:00","\\praisejesus\memory\committed bytes","33194733568"
"2026-06-17T15:45:49.0180000-07:00","\\praisejesus\memory\commit limit","58822393856"
"2026-06-17T15:45:50.0460000-07:00","\\praisejesus\processor(_total)\% processor time","24.98"
"2026-06-17T15:45:50.0460000-07:00","\\praisejesus\memory\available mbytes","8274"
"2026-06-17T15:45:50.0460000-07:00","\\praisejesus\memory\committed bytes","33081524224"
"2026-06-17T15:45:50.0460000-07:00","\\praisejesus\memory\commit limit","58822393856"
"2026-06-17T15:45:51.0610000-07:00","\\praisejesus\processor(_total)\% processor time","9.01"
"2026-06-17T15:45:51.0610000-07:00","\\praisejesus\memory\available mbytes","8303"
"2026-06-17T15:45:51.0610000-07:00","\\praisejesus\memory\committed bytes","33002586112"
"2026-06-17T15:45:51.0610000-07:00","\\praisejesus\memory\commit limit","58822393856"
