"Name","Id","CurrentCpuPercent","TotalCpuSeconds","WorkingSetMB","PrivateMemoryMB","Threads","Handles","Path"
"node","28028","0","56.45","3232.1","3293.1","37","2253","C:\Program Files\nodejs\node.exe"
"Memory Compression","2968","","","785.1","1.9","50","0",""
"MsMpEng","4400","","","512.3","549.7","82","1703",""
"explorer","8580","0","88.38","493.5","459.7","93","4811","C:\WINDOWS\Explorer.EXE"
"chrome","9508","0","135.12","434.5","554.1","24","2114","C:\Program Files\Google\Chrome\Application\chrome.exe"
"claude","13864","0","17.95","430.8","767.8","39","319","C:\Users\JesusLovesMe\AppData\Roaming\Claude\claude-code\2.1.177\claude.exe"
"claude","14444","0","304.3","423.8","416","36","525","C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"claude","10872","0.03","16","408.2","814.3","41","326","C:\Users\JesusLovesMe\AppData\Roaming\Claude\claude-code\2.1.177\claude.exe"
"EXCEL","25064","0.03","62.14","402.2","337.6","72","2039","C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"
"claude","12832","0","22.58","394.6","723.7","32","312","C:\Users\JesusLovesMe\AppData\Roaming\Claude\claude-code\2.1.177\claude.exe"
"claude","19692","0","22.64","393.3","770.5","32","312","C:\Users\JesusLovesMe\AppData\Roaming\Claude\claude-code\2.1.177\claude.exe"
"chrome","17248","0","74.64","379.2","289.9","44","3126","C:\Program Files\Google\Chrome\Application\chrome.exe"
"claude","4916","0.05","311.42","370","460.1","96","1628","C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"Code","25016","0","7.55","363.1","337","11","262","C:\Program Files\Microsoft VS Code\Code.exe"
"Code","13088","0","30.91","350.7","307.1","31","559","C:\Program Files\Microsoft VS Code\Code.exe"
"chrome","18284","0","69.38","329.7","336.8","35","397","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","17600","0","86.72","326.8","308.7","35","397","C:\Program Files\Google\Chrome\Application\chrome.exe"
"Codex","3752","0.05","237.75","319.2","275.2","32","360","C:\Program Files\WindowsApps\OpenAI.Codex_26.611.8604.0_x64__2p2nqsd0c76g0\app\Codex.exe"
"Codex","19944","0.18","202.88","306.3","250.7","55","1471","C:\Program Files\WindowsApps\OpenAI.Codex_26.611.8604.0_x64__2p2nqsd0c76g0\app\Codex.exe"
"chrome","17816","0","113.91","301.6","312.3","35","397","C:\Program Files\Google\Chrome\Application\chrome.exe"
"codex","21300","1.48","443.39","296.9","241.9","113","953","C:\Program Files\WindowsApps\OpenAI.Codex_26.611.8604.0_x64__2p2nqsd0c76g0\app\resources\codex.exe"
"chrome","7820","0","44.92","287.3","298.9","35","408","C:\Program Files\Google\Chrome\Application\chrome.exe"
"claude","11260","0","242.94","286.2","268.2","20","1456","C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"chrome","4436","0","129.27","286.2","334.2","35","415","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","15640","0","70.5","285.8","370.9","35","419","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","17348","0","68.42","278.9","290.7","35","393","C:\Program Files\Google\Chrome\Application\chrome.exe"
"Code","19848","0.05","24.92","277.5","243.8","23","452","C:\Program Files\Microsoft VS Code\Code.exe"
"chrome","5704","0","72.31","275.3","296.4","35","407","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","18300","0","38.36","273.4","277.5","35","395","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","6544","0","77.7","270.7","274.6","35","387","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","15656","0","80.23","264","312.4","35","413","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","15476","0","24.67","261.8","242.1","35","394","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","6412","0","110.06","260.2","255.5","35","405","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","3508","0","31.97","258.8","260.3","35","395","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","4888","0","84.61","253.5","313.1","35","401","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","16332","0","65.8","239.1","236.9","35","413","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","11420","0","111.64","233.2","281.2","35","392","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","10004","0","73.33","232.1","267.8","35","397","C:\Program Files\Google\Chrome\Application\chrome.exe"
"node","9160","0.68","121.78","217.5","352.1","13","274","C:\Program Files\nodejs\node.exe"
"chrome","7588","0","38.56","216.3","268.6","35","394","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","6528","0","49.7","202.7","233","35","393","C:\Program Files\Google\Chrome\Application\chrome.exe"
"dwm","2020","","","194.5","260.4","19","2452",""
"chrome","12368","0","5.27","193.5","132.3","32","348","C:\Program Files\Google\Chrome\Application\chrome.exe"
"Code","18152","0","8.53","185.4","156.2","19","907","C:\Program Files\Microsoft VS Code\Code.exe"
"Codex","20232","0","124.67","183.9","189.6","22","1319","C:\Program Files\WindowsApps\OpenAI.Codex_26.611.8604.0_x64__2p2nqsd0c76g0\app\Codex.exe"
"Code","1384","0","12.34","150.2","108.8","46","1072","C:\Program Files\Microsoft VS Code\Code.exe"
"chrome","24500","0","6.84","145.6","82.1","36","436","C:\Program Files\Google\Chrome\Application\chrome.exe"
"StartMenuExperienceHost","9336","0","6.38","135.3","106.7","18","1229","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"claude","14252","0","3.72","133.8","106.3","24","363","C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"chrome","16592","0","324.45","131.2","82.8","33","349","C:\Program Files\Google\Chrome\Application\chrome.exe"
"PhoneExperienceHost","6296","0","1.69","130.6","72.6","15","1005","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26042.99.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe"
"node","16092","0","1.62","129.9","132.6","14","215","C:\Program Files\nodejs\node.exe"
"node","19320","0","0.73","129.7","131.9","14","215","C:\Program Files\nodejs\node.exe"
"node","13608","0","0.78","129.7","132.2","14","215","C:\Program Files\nodejs\node.exe"
"node","23624","0","1.12","129.2","130.7","14","215","C:\Program Files\nodejs\node.exe"
"node","9616","0","0.66","128.7","132.7","12","226","C:\Program Files\nodejs\node.exe"
"node","23436","0","0.8","128.5","131.4","13","228","C:\Program Files\nodejs\node.exe"
"node","18876","0","1.12","128.5","130.4","15","230","C:\Program Files\nodejs\node.exe"
"node","22364","0","0.88","125.7","96.3","8","197","C:\Program Files\nodejs\node.exe"
"msedgewebview2","24408","0","1.25","125.1","42.7","54","1277","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"Code","25136","0","1.03","124.6","95.5","25","350","C:\Program Files\Microsoft VS Code\Code.exe"
"chrome","22092","0","2.02","124.2","65.8","34","429","C:\Program Files\Google\Chrome\Application\chrome.exe"
"Code","24660","0","0.62","120.4","50.4","8","180","C:\Program Files\Microsoft VS Code\Code.exe"
"Code","24876","0","5.11","119.7","87.7","24","337","C:\Program Files\Microsoft VS Code\Code.exe"
"Code","23224","0","8.5","119.4","87.3","25","377","C:\Program Files\Microsoft VS Code\Code.exe"
"Notepad","16044","0","5.59","115.9","121.1","22","1439","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2604.5.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe"
"node","9704","0","1.97","115.8","124.4","33","180","C:\Program Files\nodejs\node.exe"
"pwsh","19208","0","4.61","114.7","49.8","16","637","C:\Program Files\PowerShell\7\pwsh.exe"
"RaiDrive.Service.x64","4200","","","112.8","55.4","13","680",""
