"Name","DisplayName","State","StartMode","StartName","ProcessId","PathName"
"Appinfo","Application Information","Running","Manual","LocalSystem","4276","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Auto","LocalSystem","24832","C:\WINDOWS\system32\svchost.exe -k wsappx -p"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Auto","LocalSystem","2136","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","Windows Audio","Running","Auto","NT AUTHORITY\LocalService","3276","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"BFE","Base Filtering Engine","Running","Auto","NT AUTHORITY\LocalService","3824","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","LocalSystem","1776","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"bthserv","Bluetooth Support Service","Running","Manual","NT AUTHORITY\LocalService","13084","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"camsvc","Capability Access Manager Service","Running","Auto","LocalSystem","6648","C:\WINDOWS\system32\svchost.exe -k osprivacy -p"
"cbdhsvc_9f735","Clipboard User Service_9f735","Running","Auto",,"8888","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p"
"CDPSvc","Connected Devices Platform Service","Running","Auto","NT AUTHORITY\LocalService","6316","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"CDPUserSvc_9f735","Connected Devices Platform User Service_9f735","Running","Auto",,"8024","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Auto","LocalSystem","4444","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","NT AUTHORITY\LocalService","2084","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p"
"CoworkVMService","Claude","Running","Auto","LocalSystem","6740","""C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\resources\cowork-svc.exe"""
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Auto","LocalSystem","2340","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_92899f2b73e871b4\IntelCpHDCPSvc.exe"
"CryptSvc","Cryptographic Services","Running","Auto","NT Authority\NetworkService","4128","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto","LocalSystem","1776","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"DeviceAssociationService","Device Association Service","Running","Auto","LocalSystem","4160","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DevicesFlowUserSvc_9f735","DevicesFlow_9f735","Running","Manual",,"13648","C:\WINDOWS\system32\svchost.exe -k DevicesFlow"
"DevQueryBroker","DevQuery Background Discovery Broker","Running","Manual","LocalSystem","2740","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dhcp","DHCP Client","Running","Auto","NT Authority\LocalService","3268","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DiagTrack","Connected User Experiences and Telemetry","Running","Auto","LocalSystem","4224","C:\WINDOWS\System32\svchost.exe -k utcsvc -p"
"DispBrokerDesktopSvc","Display Policy Service","Running","Auto","NT AUTHORITY\LocalService","3768","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual","LocalSystem","17160","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dnscache","DNS Client","Running","Auto","NT AUTHORITY\NetworkService","2080","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DPS","Diagnostic Policy Service","Running","Auto","NT AUTHORITY\LocalService","4208","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
"DusmSvc","Data Usage","Running","Auto","NT Authority\LocalService","3452","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc"
"EFS","Encrypting File System (EFS)","Running","Manual","LocalSystem","1636","C:\WINDOWS\System32\lsass.exe"
"EventLog","Windows Event Log","Running","Auto","NT AUTHORITY\LocalService","2772","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventSystem","COM+ Event System","Running","Auto","NT AUTHORITY\LocalService","2832","C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p"
"fdPHost","Function Discovery Provider Host","Running","Manual","NT AUTHORITY\LocalService","24836","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"FDResPub","Function Discovery Resource Publication","Running","Manual","NT AUTHORITY\LocalService","7896","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"FontCache","Windows Font Cache Service","Running","Auto","NT AUTHORITY\LocalService","2300","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"gpsvc","Group Policy Client","Running","Auto","LocalSystem","25780","C:\WINDOWS\system32\svchost.exe -k GPSvcGroup"
"hidserv","Human Interface Device Service","Running","Manual","LocalSystem","2356","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"hns","Host Network Service","Running","Manual","LocalSystem","3408","C:\WINDOWS\system32\svchost.exe -k NetSvcs -p"
"HvHost","HV Host Service","Running","Manual","LocalSystem","1696","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Auto","LocalSystem","4192","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"InstallService","Microsoft Store Install Service","Running","Manual","LocalSystem","15964","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Auto","LocalSystem","15108","C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p"
"iphlpsvc","IP Helper","Running","Auto","LocalSystem","4364","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Auto","LocalSystem","4252","C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_af50fdb80983f7bc\jhi_service.exe"
"KeyIso","CNG Key Isolation","Running","Manual","LocalSystem","1636","C:\WINDOWS\system32\lsass.exe"
"LanmanServer","Server","Running","Auto","LocalSystem","4796","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"LanmanWorkstation","Workstation","Running","Auto","NT AUTHORITY\NetworkService","3968","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"lfsvc","Geolocation Service","Running","Manual","LocalSystem","11884","C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p"
"LicenseManager","Windows License Manager Service","Running","Manual","NT Authority\LocalService","12380","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","NT AUTHORITY\LocalService","7600","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"LSM","LSM","Running","Unknown",,"1948",
"MDCoreSvc","Microsoft Defender Core Service","Running","Auto","LocalSystem","4288","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpDefenderCoreService.exe"""
"mpssvc","Windows Defender Firewall","Running","Auto","NT Authority\LocalService","3824","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"NcbService","Network Connection Broker","Running","Manual","LocalSystem","2224","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"netprofm","Network List Service","Running","Manual","NT AUTHORITY\NetworkService","2568","C:\WINDOWS\System32\svchost.exe -k netprofm -p"
"nsi","Network Store Interface Service","Running","Auto","NT Authority\LocalService","2456","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"nvagent","Network Virtualization Service","Running","Manual","LocalSystem","3648","C:\WINDOWS\system32\svchost.exe -k NetSvcs"
"PcaSvc","Program Compatibility Assistant Service","Running","Auto","LocalSystem","6408","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"PlugPlay","Plug and Play","Running","Manual","LocalSystem","1776","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"PolicyAgent","IPsec Policy Agent","Running","Manual","NT Authority\NetworkService","7112","C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
"postgresql-x64-17","postgresql-x64-17 - PostgreSQL Server 17","Running","Auto","NT AUTHORITY\NetworkService","4312","""C:\Program Files\PostgreSQL\17\bin\pg_ctl.exe"" runservice -N ""postgresql-x64-17"" -D ""C:\Program Files\PostgreSQL\17\data"" -w"
"Power","Power","Running","Auto","LocalSystem","1776","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"PrintWorkflowUserSvc_9f735","PrintWorkflow_9f735","Running","Manual",,"24988","C:\WINDOWS\system32\svchost.exe -k PrintWorkflow"
