"Source","Location","Name","Command","State"
"RegistryRun","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Adobe Acrobat Synchronizer","""C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe""","Present"
"RegistryRun","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","com.todesktop.25020447d4kq915","C:\Users\JesusLovesMe\AppData\Local\Programs\Perplexity\Perplexity.exe","Present"
"RegistryRun","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Discord","""C:\Users\JesusLovesMe\AppData\Local\Discord\Update.exe"" --processStart Discord.exe","Present"
"RegistryRun","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Docker Desktop","C:\Program Files\Docker\Docker\Docker Desktop.exe","Present"
"RegistryRun","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","MicrosoftEdgeAutoLaunch_10662B82B7D1C71D808266F79CC95960","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --win-session-start","Present"
"RegistryRun","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","RaiDrive","C:\Program Files\OpenBoxLab\RaiDrive\RaiDrive.exe /background","Present"
"RegistryRun","HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","SecurityHealth","C:\WINDOWS\system32\SecurityHealthSystray.exe","Present"
"ScheduledTask","\Microsoft\Windows\Active Directory Rights Management Services Client\","AD RMS Rights Policy Template Management (Automated)","","Disabled"
"ScheduledTask","\Microsoft\Windows\Active Directory Rights Management Services Client\","AD RMS Rights Policy Template Management (Manual)","","Ready"
"ScheduledTask","\","Adobe Acrobat Update Task","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe","Disabled"
"ScheduledTask","\Microsoft\Windows\Workplace Join\","Automatic-Device-Join","%SystemRoot%\System32\dsregcmd.exe $(Arg0) $(Arg1) $(Arg2)","Disabled"
"ScheduledTask","\Microsoft\Windows\MemoryDiagnostic\","AutomaticOfflineMemoryDiagnostic","","Ready"
"ScheduledTask","\Microsoft\Windows\Wininet\","CacheTask","","Running"
"ScheduledTask","\Microsoft\Windows\WindowsColorSystem\","Calibration Loader","","Ready"
"ScheduledTask","\Microsoft\Windows\Data Integrity Scan\","Data Integrity Check And Scan","","Ready"
"ScheduledTask","\Microsoft\Windows\Plug and Play\","Device Install Reboot Required","","Ready"
"ScheduledTask","\Microsoft\Windows\Device Information\","Device User","%windir%\system32\devicecensus.exe UserCxt","Ready"
"ScheduledTask","\Microsoft\Windows\DirectX\","DirectXDatabaseUpdater","%windir%\system32\directxdatabaseupdater.exe","Ready"
"ScheduledTask","\Microsoft\Windows\Device Setup\","Driver Recovery on Reboot","","Disabled"
"ScheduledTask","\Microsoft\Windows\DirectX\","DXGIAdapterCache","%windir%\system32\dxgiadaptercache.exe","Ready"
"ScheduledTask","\Microsoft\Windows\ExploitGuard\","ExploitGuard MDM policy Refresh","","Ready"
"ScheduledTask","\Microsoft\Windows\LanguageComponentsInstaller\","Installation","","Ready"
"ScheduledTask","\Microsoft\Windows\Management\Provisioning\","Logon","%windir%\system32\ProvTool.exe /turn 5 /source LogonIdleTask","Ready"
"ScheduledTask","\Microsoft\Windows\Management\Provisioning\","MdmDiagnosticsCleanup","%windir%\system32\MdmDiagnosticsTool.exe /clean","Disabled"
"ScheduledTask","\Microsoft\Windows\DiskDiagnostic\","Microsoft-Windows-DiskDiagnosticResolver","%windir%\system32\DFDWiz.exe","Disabled"
"ScheduledTask","\Microsoft\Windows\Hotpatch\","Monitoring","%systemroot%\system32\cmd.exe /d /c %systemroot%\system32\hpatchmonTask.cmd","Ready"
"ScheduledTask","\Microsoft\Windows\TextServicesFramework\","MsCtfMonitor","","Ready"
"ScheduledTask","\Microsoft\Windows\Network Connectivity Status Indicator\","NcsiIdentifyUserProxies","","Ready"
"ScheduledTask","\Microsoft\Office\","Office Actions Server","C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe availabilitycheck","Ready"
"ScheduledTask","\Microsoft\Office\","Office Automatic Updates 2.0","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /frequentupdate SCHEDULEDTASK displaylevel=False","Ready"
"ScheduledTask","\Microsoft\Office\","Office Background Push Maintenance","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonx64\Microsoft Shared\Office16\opushutil.exe /pushregistration","Ready"
"ScheduledTask","\Microsoft\Office\","Office Feature Updates Logon","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe /onlogon","Ready"
