
Image Name                     PID Services                                    
========================= ======== ============================================
System Idle Process              0 N/A                                         
System                           4 N/A                                         
Secure System                  284 N/A                                         
Registry                       328 N/A                                         
smss.exe                       960 N/A                                         
csrss.exe                     1380 N/A                                         
wininit.exe                   1468 N/A                                         
csrss.exe                     1476 N/A                                         
winlogon.exe                  1564 N/A                                         
services.exe                  1584 N/A                                         
LsaIso.exe                    1628 N/A                                         
lsass.exe                     1636 EFS, KeyIso, SamSs                          
svchost.exe                   1776 BrokerInfrastructure, DcomLaunch, PlugPlay, 
                                   Power, SystemEventsBroker                   
fontdrvhost.exe               1808 N/A                                         
fontdrvhost.exe               1816 N/A                                         
svchost.exe                   1900 RpcEptMapper, RpcSs                         
svchost.exe                   1948 LSM                                         
dwm.exe                       2020 N/A                                         
svchost.exe                   1696 HvHost                                      
svchost.exe                   2084 CoreMessagingRegistrar                      
svchost.exe                   2168 Schedule                                    
svchost.exe                   2224 NcbService                                  
svchost.exe                   2232 TimeBrokerSvc                               
svchost.exe                   2240 ProfSvc                                     
IntelCpHDCPSvc.exe            2340 cplspcon                                    
svchost.exe                   2348 UserManager                                 
svchost.exe                   2356 hidserv                                     
svchost.exe                   2456 nsi                                         
svchost.exe                   2568 netprofm                                    
svchost.exe                   2740 DevQueryBroker                              
svchost.exe                   2772 EventLog                                    
svchost.exe                   2812 Themes                                      
svchost.exe                   2820 SysMain                                     
svchost.exe                   2832 EventSystem                                 
Memory Compression            2968 N/A                                         
svchost.exe                   3012 SENS                                        
svchost.exe                   2080 Dnscache                                    
svchost.exe                   2136 AudioEndpointBuilder                        
svchost.exe                   2300 FontCache                                   
svchost.exe                   3268 Dhcp                                        
svchost.exe                   3276 Audiosrv                                    
svchost.exe                   3332 TextInputManagementService                  
svchost.exe                   3408 hns                                         
svchost.exe                   3416 WinHttpAutoProxySvc                         
svchost.exe                   3452 DusmSvc                                     
svchost.exe                   3556 Wcmsvc                                      
svchost.exe                   3648 nvagent                                     
svchost.exe                   3732 WlanSvc                                     
svchost.exe                   3768 DispBrokerDesktopSvc                        
svchost.exe                   3784 ShellHWDetection                            
svchost.exe                   3824 BFE, mpssvc                                 
spoolsv.exe                   3900 Spooler                                     
svchost.exe                   3968 LanmanWorkstation                           
svchost.exe                   4128 CryptSvc                                    
svchost.exe                   4140 SharedAccess                                
svchost.exe                   4148 StateRepository                             
svchost.exe                   4160 DeviceAssociationService                    
launcher-x64.exe              4180 WinFsp.Launcher                             
svchost.exe                   4192 IKEEXT                                      
RaiDrive.Service.x64.exe      4200 RaiDrive.Service                            
svchost.exe                   4208 DPS                                         
svchost.exe                   4224 DiagTrack                                   
svchost.exe                   4236 TrkWks                                      
svchost.exe                   4244 WinRM                                       
jhi_service.exe               4252 jhi_service                                 
sqlwriter.exe                 4264 SQLWriter                                   
svchost.exe                   4280 Winmgmt                                     
MpDefenderCoreService.exe     4288 MDCoreSvc                                   
wslservice.exe                4300 WSLService                                  
pg_ctl.exe                    4312 postgresql-x64-17                           
svchost.exe                   4356 WpnService                                  
svchost.exe                   4364 iphlpsvc                                    
WMIRegistrationService.ex     4388 WMIRegistrationService                      
MsMpEng.exe                   4400 WinDefend                                   
OfficeClickToRun.exe          4444 ClickToRunSvc                               
svchost.exe                   4796 LanmanServer                                
conhost.exe                   4844 N/A                                         
dasHost.exe                   5040 N/A                                         
postgres.exe                  5464 N/A                                         
conhost.exe                   5480 N/A                                         
postgres.exe                  5844 N/A                                         
postgres.exe                  5924 N/A                                         
postgres.exe                  5936 N/A                                         
postgres.exe                  6000 N/A                                         
postgres.exe                  6008 N/A                                         
postgres.exe                  6016 N/A                                         
svchost.exe                   5688 SSDPSRV                                     
svchost.exe                   6060 RmSvc                                       
WUDFHost.exe                  6208 N/A                                         
svchost.exe                   6648 camsvc                                      
cowork-svc.exe                6740 CoworkVMService                             
svchost.exe                   6756 WSAIFabricSvc                               
wlanext.exe                   7032 N/A                                         
svchost.exe                   7112 PolicyAgent                                 
AggregatorHost.exe            6216 N/A                                         
vmcompute.exe                 6948 vmcompute                                   
svchost.exe                   6408 PcaSvc                                      
NisSrv.exe                    7380 WdNisSvc                                    
svchost.exe                   7600 lmhosts                                     
svchost.exe                   7896 FDResPub                                    
svchost.exe                   7688 webthreatdefsvc                             
sihost.exe                    4872 N/A                                         
svchost.exe                   8024 CDPUserSvc_9f735                            
svchost.exe                   2180 webthreatdefusersvc_9f735                   
svchost.exe                   2372 WpnUserService_9f735                        
svchost.exe                   3428 TokenBroker                                 
cmd.exe                       3292 N/A                                         
conhost.exe                   3808 N/A                                         
svchost.exe                   4276 Appinfo                                     
OpenConsole.exe               5296 N/A                                         
svchost.exe                   6316 CDPSvc                                      
WindowsTerminal.exe           8216 N/A                                         
taskhostw.exe                 8304 N/A                                         
pwsh.exe                      8736 N/A                                         
node.exe                      9160 N/A                                         
explorer.exe                  8580 N/A                                         
ShellHost.exe                 8544 N/A                                         
CrossDeviceResume.exe         7644 N/A                                         
svchost.exe                   8888 cbdhsvc_9f735                               
CrossDeviceService.exe        8808 N/A                                         
SearchHost.exe                9328 N/A                                         
StartMenuExperienceHost.e     9336 N/A                                         
Widgets.exe                   9564 N/A                                         
RuntimeBroker.exe             9596 N/A                                         
svchost.exe                   9608 UdkUserSvc_9f735                            
WidgetService.exe             9892 N/A                                         
backgroundTaskHost.exe       10256 N/A                                         
msedgewebview2.exe           10312 N/A                                         
msedgewebview2.exe           10664 N/A                                         
msedgewebview2.exe           11204 N/A                                         
msedgewebview2.exe           11228 N/A                                         
msedgewebview2.exe           10420 N/A                                         
msedgewebview2.exe           11364 N/A                                         
RuntimeBroker.exe            11784 N/A                                         
svchost.exe                  11884 lfsvc                                       
RuntimeBroker.exe            11620 N/A                                         
ctfmon.exe                   12048 N/A                                         
PhoneExperienceHost.exe       6296 N/A                                         
SecurityHealthSystray.exe     7540 N/A                                         
SecurityHealthService.exe     1712 SecurityHealthService                       
svchost.exe                  12380 LicenseManager                              
backgroundTaskHost.exe       11968 N/A                                         
SearchIndexer.exe            13380 WSearch                                     
msedgewebview2.exe           12228 N/A                                         
msedgewebview2.exe            8300 N/A                                         
msedgewebview2.exe           12980 N/A                                         
msedgewebview2.exe           13120 N/A                                         
msedgewebview2.exe           12776 N/A                                         
msedgewebview2.exe           12488 N/A                                         
svchost.exe                  15108 InventorySvc                                
svchost.exe                  14808 StorSvc                                     
svchost.exe                  15648 UsoSvc                                      
svchost.exe                   2472 whesvc                                      
svchost.exe                  16200 wscsvc                                      
ApplicationFrameHost.exe      7992 N/A                                         
SystemSettings.exe            7388 N/A                                         
svchost.exe                   5148 SstpSvc                                     
svchost.exe                  13648 DevicesFlowUserSvc_9f735                    
svchost.exe                  13084 bthserv                                     
svchost.exe                   7568 RasMan                                      
AppActions.exe               10564 N/A                                         
claude.exe                    4916 N/A                                         
claude.exe                   10936 N/A                                         
claude.exe                   11260 N/A                                         
claude.exe                    6768 N/A                                         
claude.exe                   10752 N/A                                         
claude.exe                   16844 N/A                                         
claude.exe                   14444 N/A                                         
claude.exe                   10172 N/A                                         
claude.exe                    3728 N/A                                         
claude.exe                   10228 N/A                                         
Notepad.exe                  16044 N/A                                         
claude.exe                   14252 N/A                                         
conhost.exe                   6028 N/A                                         
backgroundTaskHost.exe       12720 N/A                                         
svchost.exe                  15452 wcncsvc                                     
chrome.exe                   17248 N/A                                         
chrome.exe                   14360 N/A                                         
chrome.exe                    9508 N/A                                         
chrome.exe                    3984 N/A                                         
chrome.exe                   14288 N/A                                         
chrome.exe                   15060 N/A                                         
chrome.exe                   15640 N/A                                         
chrome.exe                    6412 N/A                                         
chrome.exe                   16592 N/A                                         
chrome.exe                    7588 N/A                                         
chrome.exe                   15656 N/A                                         
chrome.exe                    6528 N/A                                         
chrome.exe                   16332 N/A                                         
chrome.exe                    1896 N/A                                         
chrome.exe                   16172 N/A                                         
chrome.exe                   11420 N/A                                         
chrome.exe                   10004 N/A                                         
chrome.exe                    4436 N/A                                         
chrome.exe                    3508 N/A                                         
chrome.exe                    4888 N/A                                         
chrome.exe                   17348 N/A                                         
chrome.exe                    7820 N/A                                         
chrome.exe                    5704 N/A                                         
chrome.exe                   17600 N/A                                         
chrome.exe                   18300 N/A                                         
chrome.exe                    6544 N/A                                         
chrome.exe                   17816 N/A                                         
chrome.exe                   15476 N/A                                         
chrome.exe                   18284 N/A                                         
ShellExperienceHost.exe      20664 N/A                                         
RuntimeBroker.exe             9260 N/A                                         
svchost.exe                  19816 seclogon                                    
Codex.exe                    19944 N/A                                         
Codex.exe                    19984 N/A                                         
Codex.exe                    20020 N/A                                         
Codex.exe                    20232 N/A                                         
Codex.exe                    20248 N/A                                         
Codex.exe                     7776 N/A                                         
codex.exe                    21300 N/A                                         
conhost.exe                  21288 N/A                                         
Codex.exe                     3752 N/A                                         
Codex.exe                    16620 N/A                                         
WmiPrvSE.exe                 23260 N/A                                         
pwsh.exe                     19208 N/A                                         
