"LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess","ProcessName"
"192.168.1.112","65090","104.18.34.146","443","3984","chrome"
"192.168.1.112","60087","104.18.39.21","443","3984","chrome"
"192.168.1.112","49552","104.18.39.21","443","3984","chrome"
"192.168.1.112","63037","104.18.39.21","443","3984","chrome"
"192.168.1.112","53305","104.18.39.21","443","3984","chrome"
"192.168.1.112","56419","140.82.113.22","443","3984","chrome"
"192.168.1.112","54583","140.82.114.25","443","3984","chrome"
"192.168.1.112","57567","142.250.101.188","5228","3984","chrome"
"192.168.1.112","60307","142.250.101.188","5228","3984","chrome"
"192.168.1.112","56132","142.250.101.188","5228","3984","chrome"
"192.168.1.112","56018","172.64.148.235","443","3984","chrome"
"192.168.1.112","56105","172.64.148.235","443","3984","chrome"
"192.168.1.112","56188","172.64.148.235","443","3984","chrome"
"192.168.1.112","58237","172.64.148.235","443","3984","chrome"
"192.168.1.112","55931","172.64.148.235","443","3984","chrome"
"192.168.1.112","57657","172.64.148.235","443","3984","chrome"
"192.168.1.112","57849","172.64.148.235","443","3984","chrome"
"192.168.1.112","58505","172.64.148.235","443","3984","chrome"
"192.168.1.112","58619","172.64.148.235","443","3984","chrome"
"192.168.1.112","58711","172.64.148.235","443","3984","chrome"
"192.168.1.112","59051","172.64.148.235","443","3984","chrome"
"192.168.1.112","57057","172.64.148.235","443","3984","chrome"
"192.168.1.112","55911","172.64.148.235","443","3984","chrome"
"192.168.1.112","55175","172.64.148.235","443","3984","chrome"
"192.168.1.112","55406","172.64.148.235","443","3984","chrome"
"192.168.1.112","50188","172.64.148.235","443","3984","chrome"
"192.168.1.112","50695","172.64.148.235","443","3984","chrome"
"192.168.1.112","51120","172.64.148.235","443","3984","chrome"
"192.168.1.112","51165","172.64.148.235","443","3984","chrome"
"192.168.1.112","51619","172.64.148.235","443","3984","chrome"
"192.168.1.112","51632","172.64.148.235","443","3984","chrome"
"192.168.1.112","52272","172.64.148.235","443","3984","chrome"
"192.168.1.112","52746","172.64.148.235","443","3984","chrome"
"192.168.1.112","52784","172.64.148.235","443","3984","chrome"
"192.168.1.112","52821","172.64.148.235","443","3984","chrome"
"192.168.1.112","52831","172.64.148.235","443","3984","chrome"
"192.168.1.112","53106","172.64.148.235","443","3984","chrome"
"192.168.1.112","53829","172.64.148.235","443","3984","chrome"
"192.168.1.112","54203","172.64.148.235","443","3984","chrome"
"192.168.1.112","54585","172.64.148.235","443","3984","chrome"
"192.168.1.112","54832","172.64.148.235","443","3984","chrome"
"192.168.1.112","59267","172.64.148.235","443","3984","chrome"
"192.168.1.112","55465","172.64.148.235","443","3984","chrome"
"192.168.1.112","59473","172.64.148.235","443","3984","chrome"
"192.168.1.112","58652","172.64.148.235","443","3984","chrome"
"192.168.1.112","62182","172.64.148.235","443","3984","chrome"
"192.168.1.112","63178","172.64.148.235","443","3984","chrome"
"192.168.1.112","62909","172.64.148.235","443","3984","chrome"
"192.168.1.112","64421","172.64.148.235","443","3984","chrome"
"192.168.1.112","62857","172.64.148.235","443","3984","chrome"
"192.168.1.112","64536","172.64.148.235","443","3984","chrome"
"192.168.1.112","64839","172.64.148.235","443","3984","chrome"
"192.168.1.112","64954","172.64.148.235","443","3984","chrome"
"192.168.1.112","65036","172.64.148.235","443","3984","chrome"
"192.168.1.112","62452","172.64.148.235","443","3984","chrome"
"192.168.1.112","62402","172.64.148.235","443","3984","chrome"
"192.168.1.112","62262","172.64.148.235","443","3984","chrome"
"192.168.1.112","62045","172.64.148.235","443","3984","chrome"
"192.168.1.112","61783","172.64.148.235","443","3984","chrome"
"192.168.1.112","61644","172.64.148.235","443","3984","chrome"
"192.168.1.112","63334","172.64.148.235","443","3984","chrome"
"192.168.1.112","61019","172.64.148.235","443","3984","chrome"
"192.168.1.112","60797","172.64.148.235","443","3984","chrome"
"192.168.1.112","60774","172.64.148.235","443","3984","chrome"
"192.168.1.112","59935","172.64.148.235","443","3984","chrome"
"192.168.1.112","60359","192.168.1.47","8009","3984","chrome"
"192.168.1.112","62840","216.239.36.223","443","3984","chrome"
"192.168.1.112","65210","34.160.81.0","443","3984","chrome"
"192.168.1.112","52785","35.190.80.1","443","3984","chrome"
"192.168.1.112","59933","52.70.55.108","443","3984","chrome"
"192.168.1.112","50765","76.76.21.21","443","3984","chrome"
"192.168.1.112","61632","76.76.21.21","443","3984","chrome"
"192.168.1.112","63102","140.82.116.5","443","6768","claude"
"192.168.1.112","53601","160.79.104.10","443","6768","claude"
"192.168.1.112","49580","160.79.104.10","443","10872","claude"
"192.168.1.112","65496","160.79.104.10","443","4916","claude"
"192.168.1.112","49574","160.79.104.10","443","10872","claude"
"192.168.1.112","49564","160.79.104.10","443","10872","claude"
"192.168.1.112","58488","160.79.104.10","443","6768","claude"
"192.168.1.112","60602","18.97.36.64","443","6768","claude"
"192.168.1.112","49763","34.54.194.141","443","6768","claude"
"192.168.1.112","49561","64.239.109.1","443","10872","claude"
"192.168.1.112","49567","64.239.109.1","443","10872","claude"
