"LocalAddress","LocalPort","OwningProcess","ProcessName"
"0.0.0.0","135","1900","svchost"
"::","135","1900","svchost"
"192.168.1.112","139","4","System"
"::","445","4","System"
"::","3100","28028","node"
"0.0.0.0","5040","6316","svchost"
"::","5357","4","System"
"::","5432","5464","postgres"
"0.0.0.0","5432","5464","postgres"
"::","5985","4","System"
"0.0.0.0","7421","9160","node"
"127.0.0.1","45225","19848","Code"
"::","47001","4","System"
"::","49664","1636","lsass"
"0.0.0.0","49664","1636","lsass"
"0.0.0.0","49665","1468","wininit"
"::","49665","1468","wininit"
"0.0.0.0","49666","2168","svchost"
"::","49666","2168","svchost"
"0.0.0.0","49667","2772","svchost"
"::","49667","2772","svchost"
"::","49668","3900","spoolsv"
"0.0.0.0","49668","3900","spoolsv"
"::1","49669","4252","jhi_service"
"::","49670","1584","services"
"0.0.0.0","49670","1584","services"
"127.0.0.1","54323","25016","Code"
"127.0.0.1","62696","28028","node"
"127.0.0.1","62699","28028","node"
