"LocalAddress","LocalPort","OwningProcess","ProcessName"
"192.168.1.112","137","4","System"
"192.168.1.112","138","4","System"
"::","500","4192","svchost"
"0.0.0.0","500","4192","svchost"
"127.0.0.1","1900","5688","svchost"
"fe80::e63c:173e:d46c:5804%20","1900","5688","svchost"
"::1","1900","5688","svchost"
"192.168.1.112","1900","5688","svchost"
"::","3702","7896","svchost"
"0.0.0.0","3702","7896","svchost"
"::","4500","4192","svchost"
"0.0.0.0","4500","4192","svchost"
"0.0.0.0","5050","6316","svchost"
"::","5353","2080","svchost"
"0.0.0.0","5353","2080","svchost"
"::","5355","2080","svchost"
"0.0.0.0","5355","2080","svchost"
"127.0.0.1","49664","4364","svchost"
"::","50914","2080","svchost"
"0.0.0.0","52918","7896","svchost"
"::","52919","7896","svchost"
"fe80::e63c:173e:d46c:5804%20","57192","5688","svchost"
"::1","57193","5688","svchost"
"192.168.1.112","57194","5688","svchost"
"127.0.0.1","57195","5688","svchost"
"::","58839","2080","svchost"
"0.0.0.0","64566","20248","Codex"
"0.0.0.0","65335","3984","chrome"
