"Scope","Key","RecommendedTemperature"
"agentAlias","deepseek/deepseek-reasoner","0.7"
"agentAlias","deepseek/deepseek-v4-flash","1.2"
"agentAlias","deepseek/deepseek-v4-pro","0.95"
"agentAlias","google/gemini-2.5-flash","1.05"
"agentAlias","google/gemini-2.5-flash-lite","1.1"
"agentAlias","google/gemini-2.5-pro","0.9"
"agentAlias","google/gemini-3-flash-preview","1"
"agentAlias","google/gemini-3.1-flash-lite","1"
"agentAlias","grq-compound/groq/compound","0.9"
"agentAlias","minimax/MiniMax-M3","1.15"
"agentAlias","nemotron-3-ultra-550b/nvidia/nemotron-3-ultra-550b-a55b","0.85"
"agentAlias","nv-diffusiongemma-26b/google/diffusiongemma-26b-a4b-it","1.35"
"agentAlias","nv-dracarys-70b/abacusai/dracarys-llama-3.1-70b-instruct","1.35"
"agentAlias","nv-gemma-4-31b/google/gemma-4-31b-it","1.15"
"agentAlias","nv-glm-5-1/z-ai/glm-5.1","0.85"
"agentAlias","nv-gpt-oss-120b/openai/gpt-oss-120b","0.9"
"agentAlias","nv-gpt-oss-20b/openai/gpt-oss-20b","1"
"agentAlias","nv-kimi-2-6/moonshotai/kimi-k2.6","1.05"
"agentAlias","nv-llama-3-1-8b/meta/llama-3.1-8b-instruct","1.15"
"agentAlias","nv-llama-3-2-11b-vision/meta/llama-3.2-11b-vision-instruct","1"
"agentAlias","nv-llama-3-3-70b/meta/llama-3.3-70b-instruct","1"
"agentAlias","nv-llama-4-maverick/meta/llama-4-maverick-17b-128e-instruct","1.1"
"agentAlias","nv-minimax-m2-7/minimaxai/minimax-m2.7","1"
"agentAlias","nv-minimax-m3/minimaxai/minimax-m3","1"
"agentAlias","nv-mistral-medium-3-5/mistralai/mistral-medium-3.5-128b","0.95"
"agentAlias","nv-mistral-small-4/mistralai/mistral-small-4-119b-2603","1.05"
"agentAlias","nv-mixtral-8x7b/mistralai/mixtral-8x7b-instruct-v0.1","1.15"
"agentAlias","nv-nemotron-3-nano-30b/nvidia/nemotron-3-nano-30b-a3b","0.9"
"agentAlias","nv-nemotron-nano-8b/nvidia/llama-3.1-nemotron-nano-8b-v1","1"
"agentAlias","nv-nemotron-nano-9b-v2/nvidia/nvidia-nemotron-nano-9b-v2","0.7"
"agentAlias","nv-nemotron-nano-vl-8b/nvidia/llama-3.1-nemotron-nano-vl-8b-v1","0.95"
"agentAlias","nv-nemotron-omni-30b/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning","0.85"
"agentAlias","nv-nemotron-super-49b-v15/nvidia/llama-3.3-nemotron-super-49b-v1.5","0.85"
"agentAlias","nv-nemotron-super-49b/nvidia/llama-3.3-nemotron-super-49b-v1","0.9"
"agentAlias","nv-qwen3-5-122b/qwen/qwen3.5-122b-a10b","0.9"
"agentAlias","nv-qwen3-5-397b/qwen/qwen3.5-397b-a17b","0.85"
"agentAlias","nv-qwen3-next-80b/qwen/qwen3-next-80b-a3b-instruct","0.95"
"agentAlias","nv-seed-oss-36b/bytedance/seed-oss-36b-instruct","1.2"
"agentAlias","nv-solar-10-7b/upstage/solar-10.7b-instruct","1.05"
"agentAlias","nv-step-3-5-flash/stepfun-ai/step-3.5-flash","1.15"
"agentAlias","nv-step-3-7-flash/stepfun-ai/step-3.7-flash","1.15"
"agentAlias","xai/grok-4.20-beta-latest-reasoning","0.7"
"agentAlias","xai/grok-4.3","0.9"
"agentAlias","xai/grok-build-0.1","0.9"
"agentAlias","zai/glm-4.6","0.95"
"agentAlias","zai/glm-4.7","0.9"
"agentAlias","zai/glm-4.7-flash","1.05"
"agentAlias","zai/glm-4.7-flashx","1.15"
"agentAlias","zai/glm-5","0.85"
"agentAlias","zai/glm-5-turbo","1.05"
"agentAlias","zai/glm-5.1","0.85"
"agentAlias","zai/glm-5v-turbo","1"
"providerModel","deepseek/deepseek-chat","1"
"providerModel","deepseek/deepseek-reasoner","0.7"
"providerModel","deepseek/deepseek-v4-flash","1.2"
"providerModel","deepseek/deepseek-v4-pro","0.95"
